iter	Passed	Remaining
681	155972	987522
682	156193	987241
683	156460	987254
684	156690	987033
685	156894	986653
686	157152	986607
687	157392	986450
688	157664	986490
689	157908	986358
690	158143	986166
691	158374	985949
692	158625	985856
693	158848	985590
694	159110	985568
695	159344	985371
696	159534	984901
697	159761	984661
698	160007	984535
699	160223	984228
700	160466	984086
701	160721	984021
702	160988	984021
703	161224	983838
704	161426	983443
705	161651	983187
706	161889	983013
707	162100	982675
708	162349	982570
709	162567	982276
710	162785	981977
711	163004	981692
712	163255	981594
713	163454	981182
714	163675	980906
715	163891	980605
716	164158	980599
717	164401	980454
718	164620	980169
719	164842	979896
720	165059	979595
721	165320	979560
722	165546	979311
723	165771	979059
724	166017	978929
725	166249	978721
726	166507	978661
727	166710	978280
728	166906	977854
729	167166	977808
730	167426	977760
731	167661	977565
732	167873	977236
733	168115	977085
734	168339	976824
735	168584	976692
736	168794	976353
737	169037	976203
738	169287	976092
739	169524	975911
740	169818	976057
741	170052	975855
742	170272	975570
743	170499	975332
744	170746	975201
745	170987	975041
746	171208	974764
747	171431	974502
748	171687	974425
749	171919	974210
750	172151	973997
751	172368	973697
752	172585	973400
753	172816	973180
754	173069	973085
755	173302	972875
756	173547	972737
757	173801	972647
758	174062	972595
759	174307	972450
760	174535	972213
761	174931	972914
762	175168	972724
763	175363	972303
764	175583	972021
765	175828	971878
766	176036	971529
767	176259	971263
768	176511	971159
769	176771	971094
770	177029	971023
771	177265	970827
772	177513	970695
773	177746	970484
774	178013	970460
775	178242	970225
776	178493	970113
777	178743	969995
778	179095	970428
779	179318	970158
780	179540	969884
781	179791	969771
782	180021	969538
783	180242	969262
784	180451	968919
785	180664	968598
786	180860	968188
787	181081	967914
788	181412	968223
789	181678	968182
790	181912	967978
791	182181	967955
792	182412	967729
793	182619	967378
794	182849	967145
795	183109	967075
796	183340	966848
797	183582	966685
798	183857	966688
799	184082	966430
800	184301	966144
801	184526	965888
802	184776	965760
803	185002	965513
804	185246	965351
805	185479	965139
806	185717	964946
807	185944	964700
808	186171	964455
809	186401	964226
810	186738	964544
811	186947	964204
812	187177	963975
813	187379	963600
814	187602	963334
815	187830	963091
816	188057	962843
817	188239	962369
818	188494	962263
819	188728	962055
820	188988	961977
821	189238	961849
822	189468	961617
823	189708	961436
824	189922	961122
825	190163	960946
826	190385	960676
827	190613	960435
828	190868	960328
829	191191	960564
830	191421	960331
831	191670	960197
832	191883	959880
833	192196	960061
834	192437	959884
835	192673	959677
836	192881	959338
837	193126	959177
838	193342	958879
839	193618	958871
840	193872	958757
841	194130	958662
842	194339	958328
843	194580	958147
844	194806	957894
845	195036	957660
846	195330	957740
847	195552	957467
848	195784	957247
849	196042	957149
850	196299	957046
851	196537	956852
852	196744	956504
853	196955	956180
854	197218	956104
855	197440	955832
856	197657	955538
857	197898	955356
858	198107	955019
859	198331	954756
860	198561	954524
861	198814	954400
862	199069	954287
863	199291	954016
